Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2205,2486,-1.28378915527652,-3.60159072475349,-0.0235008224885291,-0.000475,0.002706,-0.007950,0.004238,0.086600,322.924266,24.426831,0.999375,0.988681,0.004319,0.198538,-0.000033,-0.000022,0.000006,-0.000019,-0.000035,66.537738,0.000055,
2325,2711,1.28609373445287,1.3103054029435,-0.0357813943707015,-0.000389,0.002652,-0.006964,0.007158,0.106928,318.897020,24.741414,0.999141,0.988044,0.004380,0.163394,-0.000018,-0.000024,0.000002,-0.000017,-0.000025,18.372020,0.000042,
2190,2486,-1.6106718463243,-3.60178017835729,-0.023975487028963,-0.000687,0.002489,-0.005493,-0.013515,0.104569,322.946164,24.446350,0.999157,0.985859,0.004835,0.230111,-0.000026,-0.000017,0.000013,-0.000008,-0.000035,54.646942,0.000045,
2040,2126,-4.81599929115047,-11.4783385159413,0.0118848080527982,-0.000298,0.001598,-0.005086,0.000876,0.052720,329.856223,24.882070,0.998829,0.983720,0.005315,0.205011,-0.000057,-0.000046,0.000007,-0.000043,-0.000060,64.181576,0.000103,
2115,2246,-3.2014851672783,-8.84918036221568,-0.00100691142438336,-0.000056,0.002712,-0.005540,0.014637,0.105662,327.405120,24.554557,0.998921,0.985339,0.004912,0.205951,-0.000035,0.000000,0.000009,0.000002,-0.000037,76.251867,0.000042,
2295,2696,0.636089476990968,0.981209256793875,-0.0345147636227807,-0.000482,0.002523,-0.006109,-0.000552,0.101567,319.173389,24.625989,0.999733,0.993147,0.003450,0.243286,-0.000025,-0.000019,-0.000002,-0.000018,-0.000026,-71.770447,0.000044,
2430,2921,3.53040388691544,5.885098842715,-0.0235312369766802,-0.000466,0.002084,-0.003909,-0.006094,0.091360,315.540357,25.384119,0.999642,0.993198,0.003435,0.198920,-0.000028,-0.000038,-0.000019,-0.000013,-0.000053,-37.565448,0.000070,
2460,2981,4.17188540963769,7.19120394185556,-0.0121698007793043,-0.000585,0.002382,-0.005662,-0.004519,0.104395,314.688080,25.673658,0.999517,0.992267,0.003615,0.198497,-0.000030,-0.000017,-0.000013,-0.000008,-0.000038,-58.094358,0.000049,
2205,2516,-1.28885147941782,-2.94765147017316,-0.0234721193224914,-0.000284,0.002569,-0.007220,0.010706,0.099871,322.435079,24.379255,0.999503,0.990796,0.003873,0.294646,-0.000032,-0.000036,-0.000002,-0.000031,-0.000037,-23.366493,0.000067,
2130,2291,-2.88321325234594,-7.86493233989896,-0.00582016979331001,-0.000777,0.002286,-0.003986,-0.023040,0.086851,326.522758,24.469136,0.998942,0.986123,0.004809,0.227847,-0.000024,0.000004,0.000002,0.000004,-0.000024,85.255157,0.000026,
2250,2606,-0.326079888176029,-0.982391135255106,-0.0298401178912968,-0.000420,0.002795,-0.007606,0.006651,0.123563,320.780975,24.456370,0.999153,0.988513,0.004345,0.299618,-0.000036,-0.000020,-0.000004,-0.000018,-0.000037,-75.367363,0.000056,
2190,2456,-1.60470040477356,-4.25712641883531,-0.017442978460565,-0.000380,0.002975,-0.006433,0.003716,0.125184,323.513662,24.413564,0.999105,0.986868,0.004735,0.252153,-0.000024,-0.000019,0.000011,-0.000010,-0.000032,50.588851,0.000045,
2130,2306,-2.8857020162603,-7.53629392506684,-0.00478217242419987,-0.000727,0.002430,-0.001575,-0.027874,0.108833,326.279111,24.522060,0.999071,0.987585,0.004610,0.204625,-0.000021,0.000007,0.000004,0.000007,-0.000022,81.340348,0.000022,
